RECID|RTYPE|DOCNO|PRDCD|SINGKAT|DIV|QTY|TOKO|TGL_PB|PKM_AKH|MINOR|GUDANG
T|P|TU7B000262|20114257|LABEL THERMAL 3X2|40|3|TU7B|07-11-2023|3|1|G244
T|P|TU7B000262|20118155|ROLL STRK TRML TMBGN|40|15|TU7B|07-11-2023|15|5|G244
T|P|TU7B000262|20118156|ROLL STRUK LABEL BC|40|0|TU7B|07-11-2023|4|2|G244
T|P|TU7B000262|20118157|ROLL STRUK EDC BCA|40|0|TU7B|07-11-2023|22|2|G244
T|P|TU7B000262|20118158|ROLL STRK EDC WDCARD|40|0|TU7B|07-11-2023|22|2|G244
T|P|TU7B000262|20118159|KNTONG PL SMPH 50X70|40|2|TU7B|07-11-2023|37|36|G244
T|P|TU7B000262|20118160|KNTNG PL SMPH 90X120|40|2|TU7B|07-11-2023|21|20|G244
T|P|TU7B000262|20118161|PRICE TAG PUTIH N222|40|0|TU7B|07-11-2023|700|200|G244
T|P|TU7B000262|20118163|PRICE TAG PROMO N338|40|0|TU7B|07-11-2023|500|200|G244
T|P|TU7B000262|20118165|ROLL STRK PRNTR TRML|40|0|TU7B|07-11-2023|60|10|G244
T|P|TU7B000262|20118166|EPSON RBN/CRTD LX310|40|2|TU7B|07-11-2023|2|1|G244
T|P|TU7B000262|20118167|PITA.PRTR RFIL LX310|40|2|TU7B|07-11-2023|3|2|G244
T|P|TU7B000262|20118169|KERTAS 1 PLY N101|40|1|TU7B|07-11-2023|2|1|G244
T|P|TU7B000262|20118171|PLSTK WRAP BUAH N332|40|0|TU7B|07-11-2023|2|1|G244
T|P|TU7B000262|20118173|TL.RAPIA GL 1KG N402|40|1|TU7B|07-11-2023|2|1|G244
T|P|TU7B000262|20128131|ROLL BUAH SEAL 8CM|40|3|TU7B|07-11-2023|3|1|G244
T|P|TU7B000262|20130428|IDM DUCT TAPE KLIK|40|2|TU7B|07-11-2023|2|1|G244
T|P|TU7B000262|20131479|ROLL STRK EDC MTI|40|6|TU7B|07-11-2023|10|0|G244
T|P|TU7B000262|20131747|KARET GELANG|40|2|TU7B|07-11-2023|2|1|G244
T|P|TU7B000262|20131748|KABEL TIES|40|2|TU7B|07-11-2023|2|1|G244
